ID,plate,treatment,line,symbiosis,well,temp,day,tent_count,day_cat
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),1,0,day_1
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),2,0,day_2
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),3,0,day_3
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),4,0,day_4
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),5,2,day_5
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),6,6,day_6
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),7,6,day_7
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),8,8,day_8
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),9,8,day_9
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),10,8,day_10
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),11,8,day_11
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),12,8,day_12
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),13,8,day_13
H2-SYM-3_C4_X3A,H2-Sym-3,H2-SYM-25C (a),H2,Sym,C4,25C (ambient),14,8,day_14
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),0,0,day_0
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),1,0,day_1
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),2,0,day_2
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),3,0,day_3
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),4,0,day_4
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),5,0,day_5
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),6,0,day_6
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),7,0,day_7
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),8,0,day_8
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),9,2,day_9
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),10,4,day_10
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),11,6,day_11
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),12,6,day_12
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),13,6,day_13
H2-SYM-5_A1_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A1,25C (ambient),14,8,day_14
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),0,0,day_0
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),1,0,day_1
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),2,0,day_2
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),3,0,day_3
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),4,0,day_4
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),5,0,day_5
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),6,2,day_6
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),7,4,day_7
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),8,7,day_8
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),9,10,day_9
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),10,10,day_10
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),11,10,day_11
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),12,10,day_12
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),13,10,day_13
H2-SYM-5_A2_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A2,25C (ambient),14,10,day_14
H2-SYM-5_A3_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A3,25C (ambient),0,0,day_0
H2-SYM-5_A3_X3A,H2-Sym-5,H2-SYM-25C (a),H2,Sym,A3,25C (ambient),1,0,day_1
